field_name,layer,role,data_type,description,source_file,source_field_or_rule,sample_scope,time_window,formula_or_construction,allowed_values,missing_rule,percentile_reference,display_rounding,claim_limit,implementation_status,output_column_present,actual_nonmissing_n,actual_null_n,actual_zero_n,actual_unique_n,actual_min,actual_max,implementation_note
research_activity_pct_layer55,resource,primary_display_percentile,number,Layer-relative resource position used in the 55-country display,Derived from research_activity_fractional,average-rank rule,A55,2021-2025,100*(ascending average rank-1)/(55-1),0 to 100,blank only if resource Not observed,A55 observed values,1 decimal display; full precision stored,"Relative position, not a capacity score",PASS,1,55,0,0,53,1.8518518518518519,100,Implemented directly from locked protocol
research_activity_pct_common39,resource,common_sample_percentile,number,Like-for-like resource position for C39 alignment diagnostics,Derived from research_activity_fractional,average-rank rule,C39,2021-2025,100*(ascending average rank-1)/(39-1),0 to 100,blank outside C39,C39,1 decimal display; full precision stored,Use only for common-sample descriptive alignment,PASS,1,39,16,1,39,0,100,Must be populated for C39 and blank outside C39
research_activity_ai_works_sens,resource,sensitivity_indicator,integer,Locked resource sensitivity using raw AI work count,country_period_summary.csv,ai_works_raw,A55,2021-2025,copy current-period ai_works_raw,>=0 integer,validated zero remains 0,ranked in A55 and C39 for sensitivity,integer,Cannot replace fractional output after viewing results,PASS,1,55,0,3,46,0,5454,Implemented directly from locked protocol
research_activity_ai_works_pct_layer55_sens,resource,sensitivity_percentile,number,A55 percentile for the AI-works sensitivity,Derived from research_activity_ai_works_sens,average-rank rule,A55,2021-2025,100*(ascending average rank-1)/(55-1),0 to 100,blank only if sensitivity indicator Not observed,A55 observed values,1 decimal display; full precision stored,Supplementary sensitivity only,PASS,1,55,0,0,46,1.8518518518518519,100,Implemented directly from locked protocol
research_activity_ai_works_pct_common39_sens,resource,sensitivity_percentile,number,C39 percentile for the AI-works sensitivity,Derived from research_activity_ai_works_sens,average-rank rule,C39,2021-2025,100*(ascending average rank-1)/(39-1),0 to 100,blank outside C39,C39,1 decimal display; full precision stored,Supplementary sensitivity only,PASS,1,39,16,1,36,0,100,Must be populated for C39 and blank outside C39
technical_snapshot_date,technical,time_metadata,date,PeeringDB snapshot date,peeringdb_country_summary.csv,snapshot_date,A55,2026-07-15,copy frozen snapshot date,2026-07-15,never missing,not applicable,yyyy-mm-dd,"Cross-sectional timestamp, not a pre-treatment date",PASS,1,55,0,,1,,,Implemented directly from locked protocol
technical_inverse_ubiquity_weighted_degree,technical,primary_indicator,number,Primary technical network position: incident sum of Phase 2-B inverse-ubiquity shared-ASN edge weights,peeringdb_primary_covered_dyads.csv,inverse_ubiquity_weighted_shared_asns,C39,2026-07-15,sum over incident j of sum over shared ASN a of 1/(k_a-1),>=0,blank outside C39; observed C39 zero remains 0,C39,full precision raw,"Public interconnection position; not traffic, bandwidth, latency or direct peering",PASS,1,39,16,3,27,0,100,Implemented directly from locked protocol
technical_state,technical,state,string,Observation state for the Primary technical indicator,Derived from network_primary_covered and technical degree,state rule,A55,2026-07-15,coverage=0 -> Not observed; coverage=1 and degree=0 -> Observed zero; coverage=1 and degree>0 -> Observed positive,Not observed;Observed zero;Observed positive,must be Not observed with blank numeric value outside C39,not applicable,text,Not observed is never recoded to zero,PASS,1,55,0,,3,,,Implemented directly from locked protocol
technical_pct_common39,technical,primary_display_percentile,number,Technical position percentile used both in the display and common-sample diagnostics,Derived from technical_inverse_ubiquity_weighted_degree,average-rank rule,C39,2026-07-15,100*(ascending average rank-1)/(39-1),0 to 100,blank outside C39,C39,1 decimal display; full precision stored,Layer-relative position only,PASS,1,39,16,0,27,2.6315789473684212,100,Display and common-sample technical percentile are identical because both use C39
technical_raw_shared_asn_degree_sens,technical,sensitivity_indicator,number,Incident sum of raw shared-ASN counts,peeringdb_primary_covered_dyads.csv,shared_asn_count,C39,2026-07-15,sum over incident j of shared_asn_count_ij,>=0,blank outside C39; observed zero remains 0,not a Primary percentile,full precision raw,Sensitivity only; does not replace inverse-ubiquity weighting,PASS,1,39,16,3,30,0,301,Implemented directly from locked protocol
ixp_count_aux,technical,auxiliary_indicator,integer,Number of PeeringDB IXP records assigned to the country,peeringdb_country_summary.csv,ixp_count,A55,2026-07-15,copy by country_code,>=0 integer,0 may accompany Not observed and is not real-world absence,not ranked for the Primary figure,integer,Auxiliary description only,PASS,1,55,0,13,9,0,12,Implemented directly from locked protocol
unique_member_asns_aux,technical,auxiliary_indicator,integer,Unique status-ok member ASNs in the country IXP ecosystem,peeringdb_country_summary.csv,unique_member_asns,A55,2026-07-15,copy by country_code,>=0 integer,0 may accompany Not observed and is not real-world absence,not ranked for the Primary figure,integer,Auxiliary exposure description only,PASS,1,55,0,16,26,0,635,Implemented directly from locked protocol
technical_missing_reason,technical,missing_reason,string,Reason the Primary technical metric is unavailable,peeringdb_country_summary.csv,coverage_interpretation,A55,2026-07-15,if coverage=0 copy coverage interpretation; else blank,coverage explanation or blank,required when technical_state=Not observed,not applicable,text,Must state non-observation rather than absence,PASS,1,16,39,,2,,,Required for all 16 non-covered countries and blank for C39
knowledge_period,knowledge,time_metadata,string,OpenAlex period used for knowledge collaboration,africa_complete_dyads.csv,period,A55,2021-2025,filter period = current_2021_2025,current_2021_2025,never missing,not applicable,text,"Descriptive period, not an outcome caused by the technical snapshot",PASS,1,55,0,,1,,,Implemented directly from locked protocol
knowledge_fractional_weighted_degree,knowledge,primary_indicator,number,Primary knowledge position: incident sum of fractional African coauthorship weights,africa_complete_dyads.csv,coauth_fractional,A55,2021-2025,sum over incident j of coauth_fractional_ij; reconcile to knowledge_strength_raw,>=0,knowledge isolate is observed numeric 0,ranked in A55 and C39,full precision raw,Published coauthorship only; not all knowledge flows,PASS,1,55,0,6,48,0,222.74923921489133,Implemented directly from locked protocol
knowledge_state,knowledge,state,string,Observation state for the Primary knowledge indicator,Derived from knowledge_fractional_weighted_degree,state rule,A55,2021-2025,0 -> Observed zero; >0 -> Observed positive; source unavailable -> Not observed,Not observed;Observed zero;Observed positive,state must match numeric value,not applicable,text,"A knowledge isolate is observed zero, not missing",PASS,1,55,0,,2,,,Implemented directly from locked protocol
knowledge_pct_layer55,knowledge,primary_display_percentile,number,Layer-relative knowledge position used in the 55-country display,Derived from knowledge_fractional_weighted_degree,average-rank rule,A55,2021-2025,100*(ascending average rank-1)/(55-1),0 to 100,blank only if knowledge Not observed,A55 observed values,1 decimal display; full precision stored,Relative published-collaboration position only,PASS,1,55,0,0,48,4.62962962962963,100,Implemented directly from locked protocol
knowledge_pct_common39,knowledge,common_sample_percentile,number,Like-for-like knowledge position for C39 alignment diagnostics,Derived from knowledge_fractional_weighted_degree,average-rank rule,C39,2021-2025,100*(ascending average rank-1)/(39-1),0 to 100,blank outside C39,C39,1 decimal display; full precision stored,Use only for common-sample descriptive alignment,PASS,1,39,16,1,38,0,100,Must be populated for C39 and blank outside C39
knowledge_partner_count_aux,knowledge,auxiliary_indicator,integer,Number of African partners with positive fractional coauthorship,africa_complete_dyads.csv,coauth_fractional,A55,2021-2025,count incident j where coauth_fractional_ij > 0,0 to 54 integer,isolate is observed 0,not ranked for the Primary figure,integer,Auxiliary breadth measure only,PASS,1,55,0,6,26,0,36,Implemented directly from locked protocol
tech_knowledge_signed_gap_common39,cross_layer,derived_gap,number,Signed technical-minus-knowledge percentile position gap,Derived from common-sample percentiles,technical_pct_common39;knowledge_pct_common39,C39,cross-sectional comparison,technical_pct_common39 - knowledge_pct_common39,-100 to 100,blank outside C39 or if either layer unavailable,C39 for both layers,1 decimal display; full precision stored,Direction of relative position; not a deficit or causal effect,PASS,1,39,16,2,31,-75,84.21052631578947,Must be populated for C39 and blank outside C39
tech_knowledge_abs_gap_common39,cross_layer,derived_gap,number,Absolute technical–knowledge percentile position distance,Derived from signed gap,tech_knowledge_signed_gap_common39,C39,cross-sectional comparison,absolute value of signed gap,0 to 100,blank outside C39 or if either layer unavailable,C39 for both layers,1 decimal display; full precision stored,Descriptive position distance only,PASS,1,39,16,2,27,0,84.21052631578947,Must be populated for C39 and blank outside C39
main_figure_sort_order,display,ordering,integer,Deterministic row order for the 55-country figure and gap table,Derived from research_activity_pct_layer55 and country_code,sort rule,A55,not applicable,descending research_activity_pct_layer55; exact ties by country_code ascending,1 to 55 integer,never missing,not applicable,integer,Technology and knowledge values cannot break ties,PASS,1,55,0,0,55,1,55,Implemented directly from locked protocol
